Profile,VZA,VAA,SZA,SAA,fy4a_ch01_Radiance,fy4a_ch02_Radiance,fy4a_ch03_Radiance,fy4a_ch04_Radiance,fy4a_ch05_Radiance,fy4a_ch06_Radiance,fy4b_ch01_Radiance,fy4b_ch02_Radiance,fy4b_ch03_Radiance,fy4b_ch04_Radiance,fy4b_ch05_Radiance,fy4b_ch06_Radiance
P0,55.00,90.00,45.00,0.00,9.0154e-07,1.2024e-06,1.3917e-06,3.0511e-08,7.8217e-07,3.0053e-07,9.1788e-07,1.1998e-06,1.3890e-06,2.5266e-08,7.8706e-07,3.0049e-07
P0,60.00,90.00,45.00,0.00,8.8719e-07,1.1718e-06,1.3634e-06,2.8146e-08,7.7962e-07,3.0337e-07,9.0342e-07,1.1687e-06,1.3608e-06,2.2961e-08,7.8444e-07,3.0334e-07
P0,60.00,135.00,45.00,0.00,8.7117e-07,1.1027e-06,1.2580e-06,2.4251e-08,6.7514e-07,2.4965e-07,8.8732e-07,1.1005e-06,1.2560e-06,1.9731e-08,6.7967e-07,2.4956e-07
P0,60.00,180.00,30.00,0.00,1.0585e-06,1.3558e-06,1.5409e-06,2.9318e-08,7.9133e-07,2.8275e-07,1.0780e-06,1.3535e-06,1.5387e-06,2.3979e-08,7.9693e-07,2.8250e-07
P0,60.00,180.00,45.00,0.00,8.7499e-07,1.0860e-06,1.2279e-06,2.3236e-08,6.4367e-07,2.3361e-07,8.9130e-07,1.0841e-06,1.2260e-06,1.8915e-08,6.4811e-07,2.3350e-07
P0,30.00,180.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,4.7117e-07,NaN,NaN,NaN,NaN,NaN,4.7136e-07
P0,45.00,90.00,45.00,0.00,9.2082e-07,1.2418e-06,1.4265e-06,3.3513e-08,7.7419e-07,2.8988e-07,9.3731e-07,1.2397e-06,1.4239e-06,2.8274e-08,7.7921e-07,2.8982e-07
P0,60.00,0.00,55.00,0.00,8.9623e-07,1.2840e-06,1.5730e-06,3.9779e-08,1.1021e-06,4.9872e-07,9.1233e-07,1.2780e-06,1.5681e-06,3.2574e-08,1.1071e-06,4.9902e-07
P0,60.00,180.00,55.00,0.00,7.1740e-07,8.6195e-07,9.6995e-07,1.8131e-08,5.1617e-07,1.9029e-07,7.3103e-07,8.6027e-07,9.6847e-07,1.4689e-08,5.1967e-07,1.9021e-07
P0,60.00,90.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,4.6790e-07,NaN,NaN,NaN,NaN,NaN,4.6816e-07
