Profile,VZA,VAA,SZA,SAA,fy4a_ch01_Radiance,fy4a_ch02_Radiance,fy4a_ch03_Radiance,fy4a_ch04_Radiance,fy4a_ch05_Radiance,fy4a_ch06_Radiance,fy4b_ch01_Radiance,fy4b_ch02_Radiance,fy4b_ch03_Radiance,fy4b_ch04_Radiance,fy4b_ch05_Radiance,fy4b_ch06_Radiance
P0,55.00,90.00,45.00,0.00,8.0329e-07,1.0629e-06,1.2308e-06,8.2159e-09,8.9683e-07,3.8036e-07,8.1756e-07,1.0613e-06,1.2330e-06,5.2360e-09,9.0138e-07,3.8052e-07
P0,60.00,90.00,45.00,0.00,7.9967e-07,1.0496e-06,1.2215e-06,8.4006e-09,8.9738e-07,3.8327e-07,8.1400e-07,1.0476e-06,1.2240e-06,5.5543e-09,9.0192e-07,3.8343e-07
P0,60.00,135.00,45.00,0.00,8.1364e-07,1.0308e-06,1.1800e-06,8.5707e-09,8.4129e-07,3.4979e-07,8.2842e-07,1.0293e-06,1.1825e-06,5.8955e-09,8.4563e-07,3.4994e-07
P0,60.00,180.00,30.00,0.00,9.6804e-07,1.2353e-06,1.4089e-06,9.6871e-09,9.8558e-07,4.0032e-07,9.8548e-07,1.2339e-06,1.4118e-06,6.4306e-09,9.9083e-07,4.0057e-07
P0,60.00,180.00,45.00,0.00,8.2771e-07,1.0302e-06,1.1700e-06,8.7571e-09,8.2483e-07,3.3993e-07,8.4284e-07,1.0289e-06,1.1725e-06,6.1303e-09,8.2910e-07,3.4008e-07
P0,30.00,180.00,0.00,0.00,1.1484e-06,1.5591e-06,1.7723e-06,1.1554e-08,1.2012e-06,4.7117e-07,1.1682e-06,1.5586e-06,1.7743e-06,6.7296e-09,1.2079e-06,4.7136e-07
P0,45.00,90.00,45.00,0.00,8.0517e-07,1.0758e-06,1.2380e-06,8.0329e-09,8.8728e-07,3.7038e-07,8.1933e-07,1.0747e-06,1.2399e-06,4.8971e-09,8.9186e-07,3.7051e-07
P0,60.00,0.00,55.00,0.00,7.3087e-07,1.0087e-06,1.2216e-06,8.3861e-09,1.0014e-06,4.7489e-07,7.4380e-07,1.0052e-06,1.2236e-06,5.3642e-09,1.0061e-06,4.7508e-07
P0,60.00,180.00,55.00,0.00,6.9736e-07,8.4878e-07,9.6253e-07,7.8505e-09,6.8285e-07,2.8462e-07,7.1032e-07,8.4755e-07,9.6480e-07,5.7702e-09,6.8633e-07,2.8477e-07
P0,60.00,90.00,0.00,0.00,1.0695e-06,1.4136e-06,1.6308e-06,1.0305e-08,1.1484e-06,4.6790e-07,1.0884e-06,1.4117e-06,1.6339e-06,6.4219e-09,1.1546e-06,4.6816e-07
