Profile,VZA,VAA,SZA,SAA,fy4a_ch01_Radiance,fy4a_ch02_Radiance,fy4a_ch03_Radiance,fy4a_ch04_Radiance,fy4a_ch05_Radiance,fy4a_ch06_Radiance,fy4b_ch01_Radiance,fy4b_ch02_Radiance,fy4b_ch03_Radiance,fy4b_ch04_Radiance,fy4b_ch05_Radiance,fy4b_ch06_Radiance
P0,55.00,90.00,45.00,0.00,5.9568e-07,7.7831e-07,9.2629e-07,7.2925e-09,7.7998e-07,3.7729e-07,6.0633e-07,7.7593e-07,9.2815e-07,5.0484e-09,7.8142e-07,3.7825e-07
P0,45.00,180.00,30.00,0.00,6.8182e-07,8.7240e-07,1.0255e-06,8.2026e-09,8.3950e-07,3.9716e-07,6.9396e-07,8.7010e-07,1.0272e-06,5.5136e-09,8.4071e-07,3.9835e-07
P0,60.00,180.00,30.00,0.00,7.2763e-07,9.2193e-07,1.0882e-06,8.8656e-09,9.0801e-07,4.3784e-07,7.4080e-07,9.1921e-07,1.0905e-06,6.2683e-09,9.0968e-07,4.3882e-07
P0,45.00,45.00,60.00,0.00,4.2698e-07,5.6083e-07,6.7119e-07,5.3468e-09,5.6841e-07,2.7622e-07,4.3463e-07,5.5897e-07,6.7264e-07,3.7577e-09,5.6959e-07,2.7688e-07
P0,55.00,45.00,30.00,0.00,6.7196e-07,8.8849e-07,1.0611e-06,8.0610e-09,8.8657e-07,4.2474e-07,6.8386e-07,8.8572e-07,1.0631e-06,5.4009e-09,8.8805e-07,4.2591e-07
P0,30.00,180.00,0.00,0.00,6.9140e-07,9.0394e-07,1.0761e-06,8.6874e-09,8.6393e-07,3.9987e-07,7.0353e-07,9.0114e-07,1.0775e-06,5.6691e-09,8.6494e-07,4.0109e-07
P0,45.00,90.00,45.00,0.00,5.6818e-07,7.4423e-07,8.8277e-07,6.8323e-09,7.3453e-07,3.5157e-07,5.7826e-07,7.4210e-07,8.8432e-07,4.5888e-09,7.3573e-07,3.5255e-07
P0,60.00,90.00,0.00,0.00,7.5523e-07,9.8717e-07,1.1805e-06,9.0457e-09,9.8454e-07,4.7155e-07,7.6870e-07,9.8393e-07,1.1828e-06,6.1644e-09,9.8625e-07,4.7267e-07
P0,55.00,135.00,60.00,0.00,4.8303e-07,6.0577e-07,7.1640e-07,6.3160e-09,6.0661e-07,2.9673e-07,4.9191e-07,6.0382e-07,7.1813e-07,4.7105e-09,6.0799e-07,2.9738e-07
P0,55.00,135.00,55.00,0.00,5.3642e-07,6.7649e-07,7.9779e-07,6.8056e-09,6.7271e-07,3.2778e-07,5.4620e-07,6.7447e-07,7.9958e-07,4.9624e-09,6.7412e-07,3.2855e-07
