Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P0,60.00,180.00,30.00,0.00,6.9546e-08,2.0919e-07,6.9143e-07,2.4610e-06,6.4135e-06,6.4020e-06,5.4950e-06,6.6481e-08,1.9074e-07,5.1200e-07,2.4742e-06,5.1511e-06,6.3101e-06,6.1000e-06
P0,30.00,180.00,0.00,0.00,7.9698e-08,2.4249e-07,7.8428e-07,2.6072e-06,6.5092e-06,6.4977e-06,5.9750e-06,7.6095e-08,2.2159e-07,5.8636e-07,2.6122e-06,5.2434e-06,6.3993e-06,6.4727e-06
P0,60.00,90.00,0.00,0.00,8.7320e-08,2.0920e-07,6.9149e-07,2.4618e-06,6.4136e-06,6.4021e-06,5.4951e-06,8.3525e-08,1.9074e-07,5.1201e-07,2.4751e-06,5.1512e-06,6.3101e-06,6.1001e-06
P0,30.00,0.00,0.00,0.00,7.9698e-08,2.4249e-07,7.8428e-07,2.6072e-06,6.5092e-06,6.4977e-06,5.9750e-06,7.6095e-08,2.2159e-07,5.8636e-07,2.6122e-06,5.2434e-06,6.3993e-06,6.4727e-06
P0,30.00,90.00,60.00,0.00,5.2233e-08,2.4246e-07,7.8417e-07,2.6070e-06,6.5092e-06,6.4977e-06,5.9750e-06,5.0181e-08,2.2159e-07,5.8633e-07,2.6120e-06,5.2434e-06,6.3993e-06,6.4726e-06
P0,60.00,180.00,60.00,0.00,4.5141e-08,2.0917e-07,6.9137e-07,2.4603e-06,6.4135e-06,6.4020e-06,5.4950e-06,4.3294e-08,1.9073e-07,5.1199e-07,2.4734e-06,5.1509e-06,6.3100e-06,6.1000e-06
P0,30.00,135.00,30.00,0.00,7.0148e-08,2.4248e-07,7.8424e-07,2.6070e-06,6.5092e-06,6.4977e-06,5.9750e-06,6.7025e-08,2.2159e-07,5.8635e-07,2.6120e-06,5.2434e-06,6.3993e-06,6.4726e-06
P0,60.00,135.00,30.00,0.00,7.3411e-08,2.0919e-07,6.9144e-07,2.4612e-06,6.4135e-06,6.4020e-06,5.4950e-06,7.0202e-08,1.9074e-07,5.1200e-07,2.4744e-06,5.1511e-06,6.3101e-06,6.1001e-06
P0,30.00,180.00,30.00,0.00,6.8341e-08,2.4248e-07,7.8422e-07,2.6068e-06,6.5092e-06,6.4977e-06,5.9750e-06,6.5286e-08,2.2159e-07,5.8635e-07,2.6118e-06,5.2434e-06,6.3992e-06,6.4726e-06
P0,30.00,180.00,60.00,0.00,4.3097e-08,2.4245e-07,7.8414e-07,2.6066e-06,6.5092e-06,6.4976e-06,5.9750e-06,4.1374e-08,2.2158e-07,5.8632e-07,2.6115e-06,5.2434e-06,6.3992e-06,6.4726e-06
P0,30.00,90.00,30.00,0.00,7.5078e-08,2.4248e-07,7.8426e-07,2.6073e-06,6.5092e-06,6.4977e-06,5.9750e-06,7.1774e-08,2.2159e-07,5.8636e-07,2.6123e-06,5.2434e-06,6.3993e-06,6.4727e-06
P0,60.00,45.00,0.00,0.00,8.7320e-08,2.0920e-07,6.9149e-07,2.4618e-06,6.4136e-06,6.4021e-06,5.4951e-06,8.3525e-08,1.9074e-07,5.1201e-07,2.4751e-06,5.1512e-06,6.3101e-06,6.1001e-06
P0,30.00,0.00,30.00,0.00,8.3802e-08,2.4250e-07,7.8431e-07,2.6078e-06,6.5092e-06,6.4977e-06,5.9750e-06,8.0187e-08,2.2159e-07,5.8637e-07,2.6128e-06,5.2435e-06,6.3993e-06,6.4727e-06
P0,30.00,0.00,60.00,0.00,6.8505e-08,2.4248e-07,7.8423e-07,2.6081e-06,6.5093e-06,6.4978e-06,5.9750e-06,6.5916e-08,2.2159e-07,5.8634e-07,2.6131e-06,5.2436e-06,6.3994e-06,6.4727e-06
P0,0.00,0.00,30.00,0.00,7.0022e-08,2.5188e-07,8.0820e-07,2.6381e-06,6.5297e-06,6.5182e-06,6.0902e-06,6.6916e-08,2.3037e-07,6.0637e-07,2.6408e-06,5.2634e-06,6.4186e-06,6.5582e-06
P0,0.00,180.00,60.00,0.00,4.7226e-08,2.5186e-07,8.0811e-07,2.6379e-06,6.5297e-06,6.5182e-06,6.0902e-06,4.5383e-08,2.3037e-07,6.0634e-07,2.6406e-06,5.2634e-06,6.4186e-06,6.5582e-06
P0,60.00,45.00,30.00,0.00,1.0316e-07,2.0922e-07,6.9154e-07,2.4630e-06,6.4137e-06,6.4022e-06,5.4951e-06,9.8926e-08,1.9074e-07,5.1202e-07,2.4763e-06,5.1514e-06,6.3102e-06,6.1001e-06
P0,0.00,180.00,0.00,0.00,7.5430e-08,2.5189e-07,8.0823e-07,2.6382e-06,6.5297e-06,6.5182e-06,6.0902e-06,7.1999e-08,2.3037e-07,6.0638e-07,2.6409e-06,5.2634e-06,6.4186e-06,6.5582e-06
P0,30.00,135.00,60.00,0.00,4.5333e-08,2.4246e-07,7.8414e-07,2.6067e-06,6.5092e-06,6.4976e-06,5.9750e-06,4.3527e-08,2.2158e-07,5.8632e-07,2.6116e-06,5.2434e-06,6.3992e-06,6.4726e-06
