Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P0,60.00,180.00,30.00,0.00,7.1912e-08,1.8326e-07,5.5399e-07,2.9764e-06,6.7530e-06,6.7437e-06,4.9318e-06,7.1458e-08,1.6833e-07,4.1544e-07,3.0311e-06,5.7523e-06,6.6994e-06,5.6756e-06
P0,30.00,180.00,0.00,0.00,6.4809e-08,2.1910e-07,6.9412e-07,3.7774e-06,8.1553e-06,8.1446e-06,5.9079e-06,6.4506e-08,1.9998e-07,5.1169e-07,3.8325e-06,6.9921e-06,8.0868e-06,6.9079e-06
P0,60.00,90.00,0.00,0.00,7.4966e-08,1.8348e-07,5.5417e-07,2.9767e-06,6.7531e-06,6.7438e-06,4.9319e-06,7.4473e-08,1.6856e-07,4.1563e-07,3.0314e-06,5.7525e-06,6.6995e-06,5.6757e-06
P0,30.00,0.00,0.00,0.00,6.4809e-08,2.1910e-07,6.9412e-07,3.7774e-06,8.1553e-06,8.1446e-06,5.9079e-06,6.4506e-08,1.9998e-07,5.1169e-07,3.8325e-06,6.9921e-06,8.0868e-06,6.9079e-06
P0,30.00,90.00,60.00,0.00,5.3428e-08,2.1824e-07,6.9344e-07,3.7764e-06,8.1549e-06,8.1442e-06,5.9076e-06,5.3277e-08,1.9912e-07,5.1098e-07,3.8314e-06,6.9915e-06,8.0863e-06,6.9076e-06
P0,60.00,180.00,60.00,0.00,6.0240e-08,1.8220e-07,5.5310e-07,2.9753e-06,6.7525e-06,6.7432e-06,4.9315e-06,5.9911e-08,1.6728e-07,4.1453e-07,3.0299e-06,5.7516e-06,6.6988e-06,5.6753e-06
P0,30.00,135.00,30.00,0.00,6.2381e-08,2.1895e-07,6.9400e-07,3.7772e-06,8.1553e-06,8.1445e-06,5.9078e-06,6.2116e-08,1.9982e-07,5.1156e-07,3.8323e-06,6.9920e-06,8.0867e-06,6.9078e-06
P0,60.00,135.00,30.00,0.00,7.1961e-08,1.8326e-07,5.5399e-07,2.9764e-06,6.7530e-06,6.7437e-06,4.9318e-06,7.1506e-08,1.6834e-07,4.1545e-07,3.0311e-06,5.7523e-06,6.6994e-06,5.6756e-06
P0,30.00,180.00,30.00,0.00,6.2368e-08,2.1894e-07,6.9400e-07,3.7772e-06,8.1553e-06,8.1445e-06,5.9078e-06,6.2103e-08,1.9982e-07,5.1156e-07,3.8323e-06,6.9920e-06,8.0867e-06,6.9078e-06
P0,30.00,180.00,60.00,0.00,5.3272e-08,2.1822e-07,6.9342e-07,3.7764e-06,8.1549e-06,8.1442e-06,5.9076e-06,5.3123e-08,1.9910e-07,5.1097e-07,3.8314e-06,6.9915e-06,8.0863e-06,6.9076e-06
P0,30.00,90.00,30.00,0.00,6.2415e-08,2.1895e-07,6.9400e-07,3.7772e-06,8.1553e-06,8.1445e-06,5.9078e-06,6.2149e-08,1.9983e-07,5.1157e-07,3.8323e-06,6.9920e-06,8.0867e-06,6.9078e-06
P0,60.00,45.00,0.00,0.00,7.4966e-08,1.8348e-07,5.5417e-07,2.9767e-06,6.7531e-06,6.7438e-06,4.9319e-06,7.4473e-08,1.6856e-07,4.1563e-07,3.0314e-06,5.7525e-06,6.6995e-06,5.6757e-06
P0,30.00,0.00,30.00,0.00,6.2462e-08,2.1895e-07,6.9400e-07,3.7772e-06,8.1553e-06,8.1445e-06,5.9078e-06,6.2196e-08,1.9983e-07,5.1157e-07,3.8323e-06,6.9920e-06,8.0867e-06,6.9078e-06
P0,30.00,0.00,60.00,0.00,5.3582e-08,2.1826e-07,6.9345e-07,3.7764e-06,8.1549e-06,8.1442e-06,5.9076e-06,5.3429e-08,1.9914e-07,5.1100e-07,3.8315e-06,6.9915e-06,8.0863e-06,6.9076e-06
P0,0.00,0.00,30.00,0.00,6.0105e-08,2.2969e-07,7.3313e-07,3.9566e-06,8.4583e-06,8.4472e-06,6.1834e-06,5.9884e-08,2.0942e-07,5.3878e-07,4.0095e-06,7.2548e-06,8.3849e-06,7.2230e-06
P0,0.00,180.00,60.00,0.00,5.1744e-08,2.2906e-07,7.3263e-07,3.9559e-06,8.4580e-06,8.4468e-06,6.1832e-06,5.1637e-08,2.0878e-07,5.3826e-07,4.0087e-06,7.2543e-06,8.3845e-06,7.2228e-06
P0,60.00,45.00,30.00,0.00,7.2194e-08,1.8329e-07,5.5402e-07,2.9765e-06,6.7530e-06,6.7437e-06,4.9318e-06,7.1736e-08,1.6837e-07,4.1547e-07,3.0311e-06,5.7524e-06,6.6994e-06,5.6756e-06
P0,0.00,180.00,0.00,0.00,6.2357e-08,2.2983e-07,7.3323e-07,3.9568e-06,8.4583e-06,8.4472e-06,6.1834e-06,6.2098e-08,2.0955e-07,5.3889e-07,4.0097e-06,7.2549e-06,8.3849e-06,7.2231e-06
P0,30.00,135.00,60.00,0.00,5.3318e-08,2.1823e-07,6.9342e-07,3.7764e-06,8.1549e-06,8.1442e-06,5.9076e-06,5.3168e-08,1.9911e-07,5.1097e-07,3.8314e-06,6.9915e-06,8.0863e-06,6.9076e-06
P0,60.00,135.00,0.00,0.00,7.4966e-08,1.8348e-07,5.5417e-07,2.9767e-06,6.7531e-06,6.7438e-06,4.9319e-06,7.4473e-08,1.6856e-07,4.1563e-07,3.0314e-06,5.7525e-06,6.6995e-06,5.6757e-06
P0,30.00,45.00,30.00,0.00,6.2448e-08,2.1895e-07,6.9400e-07,3.7772e-06,8.1553e-06,8.1445e-06,5.9078e-06,6.2182e-08,1.9983e-07,5.1157e-07,3.8323e-06,6.9920e-06,8.0867e-06,6.9078e-06
P0,60.00,0.00,0.00,0.00,7.4966e-08,1.8348e-07,5.5417e-07,2.9767e-06,6.7531e-06,6.7438e-06,4.9319e-06,7.4473e-08,1.6856e-07,4.1563e-07,3.0314e-06,5.7525e-06,6.6995e-06,5.6757e-06
P0,60.00,0.00,30.00,0.00,7.2241e-08,1.8329e-07,5.5402e-07,2.9765e-06,6.7530e-06,6.7437e-06,4.9318e-06,7.1783e-08,1.6837e-07,4.1547e-07,3.0311e-06,5.7524e-06,6.6994e-06,5.6756e-06
P0,60.00,0.00,60.00,0.00,6.1423e-08,1.8236e-07,5.5323e-07,2.9754e-06,6.7525e-06,6.7432e-06,4.9316e-06,6.1084e-08,1.6744e-07,4.1467e-07,3.0300e-06,5.7517e-06,6.6989e-06,5.6753e-06
P0,0.00,135.00,30.00,0.00,6.0105e-08,2.2969e-07,7.3313e-07,3.9566e-06,8.4583e-06,8.4472e-06,6.1834e-06,5.9884e-08,2.0942e-07,5.3878e-07,4.0095e-06,7.2548e-06,8.3849e-06,7.2230e-06
P0,0.00,90.00,30.00,0.00,6.0105e-08,2.2969e-07,7.3313e-07,3.9566e-06,8.4583e-06,8.4472e-06,6.1834e-06,5.9884e-08,2.0942e-07,5.3878e-07,4.0095e-06,7.2548e-06,8.3849e-06,7.2230e-06
P0,60.00,135.00,60.00,0.00,6.0421e-08,1.8223e-07,5.5312e-07,2.9753e-06,6.7525e-06,6.7432e-06,4.9315e-06,6.0090e-08,1.6730e-07,4.1455e-07,3.0299e-06,5.7516e-06,6.6988e-06,5.6753e-06
P0,60.00,180.00,0.00,0.00,7.4966e-08,1.8348e-07,5.5417e-07,2.9767e-06,6.7531e-06,6.7438e-06,4.9319e-06,7.4473e-08,1.6856e-07,4.1563e-07,3.0314e-06,5.7525e-06,6.6995e-06,5.6757e-06
P0,0.00,180.00,30.00,0.00,6.0105e-08,2.2969e-07,7.3313e-07,3.9566e-06,8.4583e-06,8.4472e-06,6.1834e-06,5.9884e-08,2.0942e-07,5.3878e-07,4.0095e-06,7.2548e-06,8.3849e-06,7.2230e-06
P0,0.00,90.00,0.00,0.00,6.2357e-08,2.2983e-07,7.3323e-07,3.9568e-06,8.4583e-06,8.4472e-06,6.1834e-06,6.2098e-08,2.0955e-07,5.3889e-07,4.0097e-06,7.2549e-06,8.3849e-06,7.2231e-06
P0,60.00,90.00,60.00,0.00,6.0846e-08,1.8228e-07,5.5317e-07,2.9753e-06,6.7525e-06,6.7432e-06,4.9315e-06,6.0512e-08,1.6736e-07,4.1460e-07,3.0299e-06,5.7516e-06,6.6989e-06,5.6753e-06
P0,0.00,135.00,60.00,0.00,5.1744e-08,2.2906e-07,7.3263e-07,3.9559e-06,8.4580e-06,8.4468e-06,6.1832e-06,5.1637e-08,2.0878e-07,5.3826e-07,4.0087e-06,7.2543e-06,8.3845e-06,7.2228e-06
P0,30.00,45.00,0.00,0.00,6.4809e-08,2.1910e-07,6.9412e-07,3.7774e-06,8.1553e-06,8.1446e-06,5.9079e-06,6.4506e-08,1.9998e-07,5.1169e-07,3.8325e-06,6.9921e-06,8.0868e-06,6.9079e-06
P0,0.00,135.00,0.00,0.00,6.2357e-08,2.2983e-07,7.3323e-07,3.9568e-06,8.4583e-06,8.4472e-06,6.1834e-06,6.2098e-08,2.0955e-07,5.3889e-07,4.0097e-06,7.2549e-06,8.3849e-06,7.2231e-06
