Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P0,60.00,180.00,30.00,0.00,4.0328e-08,2.0930e-07,6.9369e-07,2.5436e-06,6.4842e-06,6.4727e-06,5.5136e-06,3.8596e-08,1.9075e-07,5.1244e-07,2.5611e-06,5.2270e-06,6.3810e-06,6.1383e-06
P0,30.00,180.00,0.00,0.00,4.3803e-08,2.4271e-07,7.8892e-07,2.6815e-06,6.6005e-06,6.5890e-06,6.0106e-06,4.1893e-08,2.2166e-07,5.8773e-07,2.6892e-06,5.3311e-06,6.4905e-06,6.5310e-06
P0,60.00,90.00,0.00,0.00,5.1381e-08,2.0930e-07,6.9372e-07,2.5441e-06,6.4843e-06,6.4728e-06,5.5136e-06,4.9131e-08,1.9075e-07,5.1244e-07,2.5616e-06,5.2271e-06,6.3811e-06,6.1383e-06
P0,30.00,0.00,0.00,0.00,4.3803e-08,2.4271e-07,7.8892e-07,2.6815e-06,6.6005e-06,6.5890e-06,6.0106e-06,4.1893e-08,2.2166e-07,5.8773e-07,2.6892e-06,5.3311e-06,6.4905e-06,6.5310e-06
P0,30.00,90.00,60.00,0.00,3.3122e-08,2.4270e-07,7.8887e-07,2.6815e-06,6.6005e-06,6.5890e-06,6.0106e-06,3.1873e-08,2.2166e-07,5.8771e-07,2.6891e-06,5.3311e-06,6.4905e-06,6.5310e-06
P0,60.00,180.00,60.00,0.00,2.8186e-08,2.0929e-07,6.9365e-07,2.5430e-06,6.4841e-06,6.4727e-06,5.5136e-06,2.7090e-08,1.9074e-07,5.1243e-07,2.5605e-06,5.2269e-06,6.3810e-06,6.1383e-06
P0,30.00,135.00,30.00,0.00,3.9219e-08,2.4271e-07,7.8890e-07,2.6814e-06,6.6005e-06,6.5890e-06,6.0106e-06,3.7556e-08,2.2166e-07,5.8772e-07,2.6890e-06,5.3310e-06,6.4905e-06,6.5310e-06
P0,60.00,135.00,30.00,0.00,4.3001e-08,2.0930e-07,6.9369e-07,2.5436e-06,6.4842e-06,6.4727e-06,5.5136e-06,4.1143e-08,1.9075e-07,5.1244e-07,2.5612e-06,5.2270e-06,6.3810e-06,6.1383e-06
P0,30.00,180.00,30.00,0.00,3.7948e-08,2.4271e-07,7.8889e-07,2.6812e-06,6.6005e-06,6.5889e-06,6.0106e-06,3.6336e-08,2.2166e-07,5.8772e-07,2.6888e-06,5.3310e-06,6.4905e-06,6.5310e-06
P0,30.00,180.00,60.00,0.00,2.6653e-08,2.4270e-07,7.8885e-07,2.6812e-06,6.6005e-06,6.5889e-06,6.0106e-06,2.5701e-08,2.2166e-07,5.8771e-07,2.6888e-06,5.3310e-06,6.4905e-06,6.5310e-06
P0,30.00,90.00,30.00,0.00,4.2643e-08,2.4271e-07,7.8892e-07,2.6816e-06,6.6005e-06,6.5890e-06,6.0106e-06,4.0824e-08,2.2166e-07,5.8773e-07,2.6892e-06,5.3311e-06,6.4905e-06,6.5310e-06
P0,60.00,45.00,0.00,0.00,5.1381e-08,2.0930e-07,6.9372e-07,2.5441e-06,6.4843e-06,6.4728e-06,5.5136e-06,4.9131e-08,1.9075e-07,5.1244e-07,2.5616e-06,5.2271e-06,6.3811e-06,6.1383e-06
P0,30.00,0.00,30.00,0.00,4.8825e-08,2.4272e-07,7.8894e-07,2.6819e-06,6.6006e-06,6.5890e-06,6.0106e-06,4.6729e-08,2.2166e-07,5.8773e-07,2.6896e-06,5.3312e-06,6.4906e-06,6.5310e-06
P0,30.00,0.00,60.00,0.00,4.5333e-08,2.4271e-07,7.8891e-07,2.6822e-06,6.6006e-06,6.5890e-06,6.0106e-06,4.3564e-08,2.2166e-07,5.8772e-07,2.6899e-06,5.3312e-06,6.4906e-06,6.5310e-06
