Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P0,60.00,180.00,30.00,0.00,6.2504e-08,2.0997e-07,7.0551e-07,2.9670e-06,7.3500e-06,7.3376e-06,5.7275e-06,6.0057e-08,1.9084e-07,5.1447e-07,2.9975e-06,5.9946e-06,7.2473e-06,6.5898e-06
P0,30.00,180.00,0.00,0.00,6.9723e-08,2.4409e-07,8.1517e-07,3.1095e-06,7.4350e-06,7.4224e-06,6.3202e-06,6.6876e-08,2.2210e-07,5.9490e-07,3.1270e-06,6.0620e-06,7.3219e-06,7.0534e-06
P0,60.00,90.00,0.00,0.00,7.6449e-08,2.0997e-07,7.0551e-07,2.9676e-06,7.3501e-06,7.3377e-06,5.7275e-06,7.3411e-08,1.9084e-07,5.1447e-07,2.9981e-06,5.9947e-06,7.2474e-06,6.5899e-06
P0,30.00,0.00,0.00,0.00,6.9723e-08,2.4409e-07,8.1517e-07,3.1095e-06,7.4350e-06,7.4224e-06,6.3202e-06,6.6876e-08,2.2210e-07,5.9490e-07,3.1270e-06,6.0620e-06,7.3219e-06,7.0534e-06
P0,30.00,90.00,60.00,0.00,4.7549e-08,2.4408e-07,8.1516e-07,3.1093e-06,7.4349e-06,7.4224e-06,6.3201e-06,4.5931e-08,2.2210e-07,5.9490e-07,3.1267e-06,6.0620e-06,7.3219e-06,7.0534e-06
P0,60.00,180.00,60.00,0.00,4.3094e-08,2.0996e-07,7.0550e-07,2.9664e-06,7.3499e-06,7.3375e-06,5.7275e-06,4.1609e-08,1.9084e-07,5.1447e-07,2.9968e-06,5.9944e-06,7.2472e-06,6.5898e-06
P0,30.00,135.00,30.00,0.00,6.2131e-08,2.4408e-07,8.1516e-07,3.1094e-06,7.4349e-06,7.4224e-06,6.3202e-06,5.9668e-08,2.2210e-07,5.9490e-07,3.1268e-06,6.0620e-06,7.3219e-06,7.0534e-06
P0,60.00,135.00,30.00,0.00,6.5514e-08,2.0997e-07,7.0551e-07,2.9671e-06,7.3500e-06,7.3376e-06,5.7275e-06,6.2948e-08,1.9084e-07,5.1447e-07,2.9976e-06,5.9946e-06,7.2473e-06,6.5899e-06
P0,30.00,180.00,30.00,0.00,6.0678e-08,2.4408e-07,8.1516e-07,3.1092e-06,7.4349e-06,7.4224e-06,6.3202e-06,5.8271e-08,2.2210e-07,5.9490e-07,3.1266e-06,6.0620e-06,7.3219e-06,7.0534e-06
P0,30.00,180.00,60.00,0.00,4.0372e-08,2.4407e-07,8.1516e-07,3.1090e-06,7.4349e-06,7.4224e-06,6.3201e-06,3.9030e-08,2.2210e-07,5.9490e-07,3.1264e-06,6.0620e-06,7.3219e-06,7.0534e-06
