Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P0,60.00,180.00,30.00,0.00,6.8449e-08,2.1059e-07,7.0619e-07,4.2266e-06,9.2944e-06,9.2825e-06,5.9038e-06,6.7793e-08,1.9087e-07,5.1447e-07,4.3222e-06,8.0279e-06,9.2392e-06,7.2320e-06
P0,30.00,180.00,0.00,0.00,6.0090e-08,2.4518e-07,8.1932e-07,4.6759e-06,9.9048e-06,9.8922e-06,6.7502e-06,5.9721e-08,2.2217e-07,5.9507e-07,4.7515e-06,8.5446e-06,9.8291e-06,8.1250e-06
P0,60.00,90.00,0.00,0.00,7.0640e-08,2.1059e-07,7.0619e-07,4.2267e-06,9.2944e-06,9.2825e-06,5.9038e-06,6.9945e-08,1.9087e-07,5.1447e-07,4.3223e-06,8.0280e-06,9.2393e-06,7.2320e-06
P0,30.00,0.00,0.00,0.00,6.0090e-08,2.4518e-07,8.1932e-07,4.6759e-06,9.9048e-06,9.8922e-06,6.7502e-06,5.9721e-08,2.2217e-07,5.9507e-07,4.7515e-06,8.5446e-06,9.8291e-06,8.1250e-06
P0,30.00,90.00,60.00,0.00,5.2675e-08,2.4518e-07,8.1932e-07,4.6756e-06,9.9048e-06,9.8922e-06,6.7502e-06,5.2446e-08,2.2217e-07,5.9507e-07,4.7511e-06,8.5444e-06,9.8290e-06,8.1250e-06
P0,60.00,180.00,60.00,0.00,6.0560e-08,2.1059e-07,7.0619e-07,4.2262e-06,9.2943e-06,9.2824e-06,5.9038e-06,6.0005e-08,1.9087e-07,5.1447e-07,4.3217e-06,8.0277e-06,9.2391e-06,7.2320e-06
P0,30.00,135.00,30.00,0.00,5.8418e-08,2.4518e-07,8.1932e-07,4.6759e-06,9.9048e-06,9.8922e-06,6.7502e-06,5.8089e-08,2.2217e-07,5.9507e-07,4.7514e-06,8.5446e-06,9.8290e-06,8.1250e-06
P0,60.00,135.00,30.00,0.00,6.8483e-08,2.1059e-07,7.0619e-07,4.2266e-06,9.2944e-06,9.2825e-06,5.9038e-06,6.7827e-08,1.9087e-07,5.1447e-07,4.3222e-06,8.0279e-06,9.2392e-06,7.2320e-06
P0,30.00,180.00,30.00,0.00,5.8409e-08,2.4518e-07,8.1932e-07,4.6759e-06,9.9048e-06,9.8922e-06,6.7502e-06,5.8079e-08,2.2217e-07,5.9507e-07,4.7514e-06,8.5446e-06,9.8290e-06,8.1250e-06
P0,30.00,180.00,60.00,0.00,5.2571e-08,2.4518e-07,8.1932e-07,4.6756e-06,9.9048e-06,9.8922e-06,6.7502e-06,5.2344e-08,2.2217e-07,5.9507e-07,4.7511e-06,8.5444e-06,9.8290e-06,8.1250e-06
P0,30.00,90.00,30.00,0.00,5.8442e-08,2.4518e-07,8.1932e-07,4.6759e-06,9.9048e-06,9.8922e-06,6.7502e-06,5.8112e-08,2.2217e-07,5.9507e-07,4.7514e-06,8.5446e-06,9.8290e-06,8.1250e-06
P0,60.00,45.00,0.00,0.00,7.0640e-08,2.1059e-07,7.0619e-07,4.2267e-06,9.2944e-06,9.2825e-06,5.9038e-06,6.9945e-08,1.9087e-07,5.1447e-07,4.3223e-06,8.0280e-06,9.2393e-06,7.2320e-06
P0,30.00,0.00,30.00,0.00,5.8477e-08,2.4518e-07,8.1932e-07,4.6759e-06,9.9048e-06,9.8922e-06,6.7502e-06,5.8145e-08,2.2217e-07,5.9507e-07,4.7514e-06,8.5446e-06,9.8290e-06,8.1250e-06
