channel,ch_type,perturbation,perturbation_label,dy_mean,dy_p95,rel_err_mean,dTb_mean,dTb_p95
fy4a_ch01,reflective,0.005,pert_frac,1.3811118482127427,3.6612963126679996,0.3986112606074313,nan,nan
fy4a_ch01,reflective,0.01,pert_frac,2.7629166566918792,7.322320297045068,0.7974225207773133,nan,nan
fy4a_ch01,reflective,0.02,pert_frac,5.525482494033179,14.642325939885287,1.5947437894049468,nan,nan
fy4a_ch01,reflective,0.03,pert_frac,8.287937525057005,21.96471426006534,2.3920330775337173,nan,nan
fy4a_ch01,reflective,0.04,pert_frac,11.051732858700166,29.289295567874913,3.1897091987183184,nan,nan
fy4a_ch01,reflective,0.05,pert_frac,13.813772162957841,36.59624646048718,3.9868785013654366,nan,nan
fy4b_ch01,reflective,0.005,pert_frac,1.3587879235421594,3.6005919400903728,0.39911223050043054,nan,nan
fy4b_ch01,reflective,0.01,pert_frac,2.717995631869898,7.20103366944317,0.7983477629813982,nan,nan
fy4b_ch01,reflective,0.02,pert_frac,5.43654216034896,14.410079595710293,1.5968573389805965,nan,nan
fy4b_ch01,reflective,0.03,pert_frac,8.153953429290494,21.609392934766653,2.3950334589942286,nan,nan
fy4b_ch01,reflective,0.04,pert_frac,10.871009331116978,28.80527723775603,3.193105198214158,nan,nan
fy4b_ch01,reflective,0.05,pert_frac,13.592764550655026,36.01575509909632,3.9925572523023574,nan,nan
fy4a_ch02,reflective,0.005,pert_frac,0.9341177177099669,2.510324989467416,0.3981496382128378,nan,nan
fy4a_ch02,reflective,0.01,pert_frac,1.8681624921270734,5.019508804870852,0.7962681857557184,nan,nan
fy4a_ch02,reflective,0.02,pert_frac,3.7376815192208572,10.039418670960108,1.5931145683446397,nan,nan
fy4a_ch02,reflective,0.03,pert_frac,5.605692067188477,15.059306785394643,2.38931799083662,nan,nan
fy4a_ch02,reflective,0.04,pert_frac,7.4734872434552315,20.08445615909884,3.1854296153001975,nan,nan
fy4a_ch02,reflective,0.05,pert_frac,9.342397346628571,25.108280539951668,3.982016455827099,nan,nan
fy4b_ch02,reflective,0.005,pert_frac,0.9358649923230917,2.5140112954168017,0.3996068972311473,nan,nan
fy4b_ch02,reflective,0.01,pert_frac,1.8717652127440056,5.0291807804238395,0.7992288365794606,nan,nan
fy4b_ch02,reflective,0.02,pert_frac,3.7435694892555214,10.056230262866864,1.5984743530764913,nan,nan
fy4b_ch02,reflective,0.03,pert_frac,5.614600266579415,15.080017612081503,2.397389591581598,nan,nan
fy4b_ch02,reflective,0.04,pert_frac,7.487731914838747,20.111196477846672,3.1972018852419684,nan,nan
fy4b_ch02,reflective,0.05,pert_frac,9.359464047293073,25.13738099666681,3.996416596801232,nan,nan
fy4a_ch03,reflective,0.005,pert_frac,0.6314125763217473,1.7149750849385885,0.3945057213686692,nan,nan
fy4a_ch03,reflective,0.01,pert_frac,1.262577981983694,3.43005802528828,0.7888570108443059,nan,nan
fy4a_ch03,reflective,0.02,pert_frac,2.525914163494427,6.862325942742989,1.5781877437248415,nan,nan
fy4a_ch03,reflective,0.03,pert_frac,3.7877422646059657,10.289268789758859,2.3665762300172077,nan,nan
fy4a_ch03,reflective,0.04,pert_frac,5.048958734286523,13.713485402500504,3.1545825698209873,nan,nan
fy4a_ch03,reflective,0.05,pert_frac,6.313131763080535,17.14815560434761,3.944436163749189,nan,nan
fy4b_ch03,reflective,0.005,pert_frac,0.641596665051254,1.7400683754235422,0.4030441563366127,nan,nan
fy4b_ch03,reflective,0.01,pert_frac,1.2831052858418954,3.4779828495672303,0.8060330042112713,nan,nan
fy4b_ch03,reflective,0.02,pert_frac,2.5660869420402492,6.957591929545002,1.6119883456039936,nan,nan
fy4b_ch03,reflective,0.03,pert_frac,3.8492717922967334,10.437807883063867,2.4180713313287283,nan,nan
fy4b_ch03,reflective,0.04,pert_frac,5.133039677889455,13.920872768413185,3.2245205736099707,nan,nan
fy4b_ch03,reflective,0.05,pert_frac,6.4164692131703305,17.39495996030371,4.030757267847538,nan,nan
fy4a_ch04,reflective,0.005,pert_frac,0.01691685573253988,0.08436556040059943,0.4077229804173088,nan,nan
fy4a_ch04,reflective,0.01,pert_frac,0.033836503214610805,0.1686964312524228,0.815513246414005,nan,nan
