Source_Ch,Target_Ch,Direction,Model,Coeff_1,Coeff_2,Intercept,R,Residual_Std
fy4a_ch01,fy4b_ch01,A2B,linear,1.01708514,,0.22253161,0.99999556,0.31360992
fy4b_ch01,fy4a_ch01,B2A,linear,0.98319314,,-0.21577071,0.99999556,0.30834049
fy4a_ch02,fy4b_ch02,A2B,linear,0.99993179,,0.43430319,0.99993916,0.85745512
fy4b_ch02,fy4a_ch02,B2A,linear,0.99994654,,-0.40578543,0.99993916,0.85746144
fy4a_ch03,fy4b_ch03,A2B,linear,0.99409505,,1.80387364,0.99940007,1.91974747
fy4b_ch03,fy4a_ch03,B2A,linear,1.00473340,,-1.62146627,0.99940007,1.92999226
fy4a_ch04,fy4b_ch04,A2B,linear,0.99090086,,-0.09077045,0.99984537,0.10762833
fy4b_ch04,fy4a_ch04,B2A,linear,1.00887062,,0.09289883,0.99984537,0.10859985
fy4a_ch05,fy4b_ch05,A2B,linear,1.00666179,,-0.05303762,0.99998783,0.04525209
fy4b_ch05,fy4a_ch05,B2A,linear,0.99335812,,0.05335974,0.99998783,0.04495208
fy4a_ch06,fy4b_ch06,A2B,linear,0.99990833,,0.00543775,0.99998636,0.00981401
fy4b_ch06,fy4a_ch06,B2A,linear,1.00006439,,-0.00527599,0.99998636,0.00981478
fy4a_ch07,fy4b_ch07,A2B,linear,0.96438753,,0.00681734,0.99775166,0.00809121
fy4b_ch07,fy4a_ch07,B2A,linear,1.03227006,,-0.00501538,0.99775166,0.00837114
fy4a_ch09,fy4b_ch09,A2B,linear,0.92387851,,-0.00897197,0.99858543,0.00884345
fy4b_ch09,fy4a_ch09,B2A,linear,1.07933333,,0.01172771,0.99858543,0.00955856
fy4a_ch10,fy4b_ch10,A2B,linear,0.71634362,,0.04784140,0.98106400,0.06251537
fy4b_ch10,fy4a_ch10,B2A,linear,1.34361016,,0.00397504,0.98106400,0.08561754
fy4a_ch11,fy4b_ch12,A2B,linear,1.00450097,,-0.04248288,0.99988523,0.02666586
fy4b_ch12,fy4a_ch11,B2A,linear,0.99529070,,0.04351519,0.99988523,0.02654333
fy4a_ch12,fy4b_ch13,A2B,linear,0.95152040,,-0.74230982,0.99729603,0.12284431
fy4b_ch13,fy4a_ch12,B2A,linear,1.04527383,,0.81470088,0.99729603,0.12875409
fy4a_ch13,fy4b_ch14,A2B,linear,1.00273090,,-0.07123857,0.99996184,0.01242610
fy4b_ch14,fy4a_ch13,B2A,linear,0.99720043,,0.07148245,0.99996184,0.01239179
fy4a_ch14,fy4b_ch15,A2B,poly,1.90038128,-0.09914037,-1.28536009,0.97463867,0.19536701
fy4b_ch15,fy4a_ch14,B2A,poly,0.27439272,0.06364544,1.26143826,0.97563241,0.15720243
